Complete_company_name,Company_code,Company_abbreviation,Company_name
NULL,000001,平安银行,平安银行股份有限公司
NULL,000002,万科Ａ,万科企业股份有限公司
NULL,000004,国农科技,深圳中国农大科技股份有限公司
NULL,000005,世纪星源,NULL
NULL,000006,深振业Ａ,深圳市振业(集团)股份有限公司
NULL,000007,全新好,深圳市全新好股份有限公司
NULL,000008,神州高铁,神州高铁技术股份有限公司
NULL,000009,中国宝安,中国宝安集团股份有限公司
NULL,000010,美丽生态,北京深华新股份有限公司
NULL,000011,深物业Ａ,深圳市物业发展(集团)股份有限公司
NULL,000012,南玻Ａ,中国南玻集团股份有限公司
NULL,000014,沙河股份,沙河实业股份有限公司
NULL,000016,深康佳Ａ,康佳集团股份有限公司
NULL,000017,深中华Ａ,深圳中华自行车(集团)股份有限公司
NULL,000018,神州长城,神州长城股份有限公司
NULL,000019,深深宝Ａ,深圳市深宝实业股份有限公司
NULL,000020,深华发Ａ,深圳中恒华发股份有限公司
NULL,000021,深科技,NULL
NULL,000022,深赤湾Ａ,深圳赤湾港航股份有限公司
NULL,000023,深天地Ａ,深圳市天地(集团)股份有限公司
NULL,000025,特力Ａ,深圳市特力(集团)股份有限公司
NULL,000026,飞亚达Ａ,飞亚达(集团)股份有限公司
NULL,000027,深圳能源,深圳能源集团股份有限公司
NULL,000028,国药一致,国药集团一致药业股份有限公司
NULL,000029,深深房Ａ,深圳经济特区房地产(集团)股份有限公司
NULL,000030,富奥股份,富奥汽车零部件股份有限公司
NULL,000031,中粮地产,中粮地产(集团)股份有限公司
NULL,000032,深桑达Ａ,深圳市桑达实业股份有限公司
NULL,000033,*ST新都,深圳新都酒店股份有限公司
NULL,000034,神州数码,神州数码集团股份有限公司
NULL,000035,中国天楹,中国天楹股份有限公司
NULL,000036,华联控股,华联控股股份有限公司
NULL,000037,*ST南电A,深圳南山热电股份有限公司
NULL,000038,深大通,深圳大通实业股份有限公司
NULL,000039,中集集团,中国国际海运集装箱(集团)股份有限公司
NULL,000040,东旭蓝天,宝安鸿基地产集团股份有限公司
NULL,000042,中洲控股,深圳市中洲投资控股股份有限公司
NULL,000043,中航地产,中航地产股份有限公司
NULL,000045,深纺织Ａ,深圳市纺织(集团)股份有限公司
NULL,000046,泛海控股,泛海控股股份有限公司
NULL,000048,康达尔,深圳市康达尔(集团)股份有限公司
NULL,000049,德赛电池,深圳市德赛电池科技股份有限公司
NULL,000050,深天马Ａ,天马微电子股份有限公司
NULL,000053,NULL,NULL
NULL,000054,NULL,NULL
NULL,000055,方大集团,方大集团股份有限公司
NULL,000056,皇庭国际,深圳市皇庭国际企业股份有限公司
NULL,000058,深赛格,深圳赛格股份有限公司
NULL,000059,华锦股份,北方华锦化学工业股份有限公司
NULL,000060,中金岭南,深圳市中金岭南有色金属股份有限公司
NULL,000061,农产品,深圳市农产品股份有限公司
NULL,000062,深圳华强,深圳华强实业股份有限公司
NULL,000063,中兴通讯,中兴通讯股份有限公司
NULL,000065,北方国际,北方国际合作股份有限公司
NULL,000066,长城电脑,中国长城计算机深圳股份有限公司
NULL,000068,华控赛格,深圳华控赛格股份有限公司
NULL,000069,华侨城Ａ,NULL
